tahun,bulan,tanggal,arus,salinitas,suhu,harga_bibit,modal,total_produksi
2011,8,10,,33,30,1000,760500,1.950
2011,8,11,,33,29,1000,371280,952
2011,8,14,,33,30,1000,607230,1.557
2011,8,14,,33,30,1000,477750,1.225
2011,8,14,,33,30,10000,3814200,978
2011,8,17,,33,30,1000,458250,1.175
2011,8,17,,33,30,1000,346710,889
2011,8,17,,33,30,1000,877500,2.250
2011,8,17,,33,30,1000,48750,125
2011,8,18,,33,29,1000,373230,957
2011,10,2,,33,31,800,250224,802
2011,10,2,,33,31,800,282672,906
2011,10,4,,33,31,800,3432000,11.000
2011,10,4,,33,31,800,414960,1.330
2011,10,8,,33,28,800,277680,890
2011,10,8,,33,28,800,57720,185
2011,10,9,,33,30,800,298584,957
2011,10,10,,33,30,800,237744,762
2012,1,30,0.65,33,28,900,2464020,7.020
2012,1,31,0.65,33,28,900,544050,1.550
2012,1,31,0.65,33,28,900,317655,905
2012,2,4,0.22,33,28,900,421200,1.200
2012,2,5,0.22,33,29,900,175500,500
2012,2,5,0.22,33,29,900,176202,502
2012,7,5,0.36,33,29,700,627900,2.300
2012,7,5,0.36,33,29,700,34125,125
2012,7,5,0.36,33,29,700,561561,2.057
2012,7,7,0.36,33,29,700,259350,950
2012,7,7,0.36,33,29,700,354900,1.300
2012,7,8,0.36,33,30,700,505050,1.850
2012,7,9,0.17,33,30,700,354900,1.300
2012,7,10,0.17,33,30,700,218400,800
2012,7,10,0.17,33,30,700,341250,1.250
2012,7,10,0.17,33,30,700,260988,956
2012,8,5,0.28,33,30,700,266448,976
2012,8,10,0.28,33,31,700,204750,750
2012,8,10,0.28,33,31,700,191100,700
2012,8,11,0.28,33,31,700,163800,600
2012,8,12,0.28,33,31,700,232596,852
2012,8,15,0.28,33,31,700,319410,1.170
2012,8,16,0.28,33,31,700,368550,1.350
2012,8,17,0.28,33,31,700,232050,850
2012,8,20,0.32,33,32,700,313950,1.150
2012,8,22,0.32,33,32,700,177450,650
2012,8,26,0.32,33,31,800,233376,748
